"OriginalPath","OriginalName","NewName","NewPath","Directory","Status","Error","Timestamp"
"D:\DigiFloat\LawChronicle\backend\test_actual_service.py","test_actual_service.py","test-actual-service-unknown-date.py","D:\DigiFloat\LawChronicle\backend\test-actual-service-unknown-date.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\test_batch_detection.py","test_batch_detection.py","test-batch-detection-unknown-date.py","D:\DigiFloat\LawChronicle\backend\test-batch-detection-unknown-date.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\test_collections.py","test_collections.py","test-collections-unknown-date.py","D:\DigiFloat\LawChronicle\backend\test-collections-unknown-date.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\test_db_connection.py","test_db_connection.py","test-db-connection-unknown-date.py","D:\DigiFloat\LawChronicle\backend\test-db-connection-unknown-date.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\test_db_write.py","test_db_write.py","test-db-write-unknown-date.py","D:\DigiFloat\LawChronicle\backend\test-db-write-unknown-date.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\test_frontend_params.py","test_frontend_params.py","test-frontend-params-unknown-date.py","D:\DigiFloat\LawChronicle\backend\test-frontend-params-unknown-date.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\test_merge_logic.py","test_merge_logic.py","test-merge-logic-unknown-date.py","D:\DigiFloat\LawChronicle\backend\test-merge-logic-unknown-date.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\test_minimal_processing.py","test_minimal_processing.py","test-minimal-processing-unknown-date.py","D:\DigiFloat\LawChronicle\backend\test-minimal-processing-unknown-date.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\test_new_endpoints.py","test_new_endpoints.py","test-new-endpoints-unknown-date.py","D:\DigiFloat\LawChronicle\backend\test-new-endpoints-unknown-date.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\test_normalization_fix.py","test_normalization_fix.py","test-normalization-fix-unknown-date.py","D:\DigiFloat\LawChronicle\backend\test-normalization-fix-unknown-date.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\test_phase2_endpoints.py","test_phase2_endpoints.py","test-phase2-endpoints-unknown-date.py","D:\DigiFloat\LawChronicle\backend\test-phase2-endpoints-unknown-date.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\test_phase2_filters.py","test_phase2_filters.py","test-phase2-filters-unknown-date.py","D:\DigiFloat\LawChronicle\backend\test-phase2-filters-unknown-date.py","D:\DigiFloat\LawChronicle\backend","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\tests\test_api_endpoints.py","test_api_endpoints.py","test-api-endpoints-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tests\test-api-endpoints-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tests","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\tests\test_phase4_jobs.py","test_phase4_jobs.py","test-phase4-jobs-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tests\test-phase4-jobs-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tests","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\tests\test_service_integration.py","test_service_integration.py","test-service-integration-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tests\test-service-integration-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tests","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\tests\unit\test_normalization_service.py","test_normalization_service.py","test-normalization-service-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tests\unit\test-normalization-service-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tests\unit","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\tests\unit\test_section_service.py","test_section_service.py","test-section-service-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tests\unit\test-section-service-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tests\unit","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\backend\tools\test_preamble_dedupe.py","test_preamble_dedupe.py","test-preamble-dedupe-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tools\test-preamble-dedupe-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tools","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\references\04_date_processing\config_ai_extractor.json","config_ai_extractor.json","config-ai-extractor-unknown-date.json","D:\DigiFloat\LawChronicle\references\04_date_processing\config-ai-extractor-unknown-date.json","D:\DigiFloat\LawChronicle\references\04_date_processing","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\references\04_date_processing\config_search_dates.json","config_search_dates.json","config-search-dates-unknown-date.json","D:\DigiFloat\LawChronicle\references\04_date_processing\config-search-dates-unknown-date.json","D:\DigiFloat\LawChronicle\references\04_date_processing","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\references\05_statute_versioning\config_assign_versions.json","config_assign_versions.json","config-assign-versions-unknown-date.json","D:\DigiFloat\LawChronicle\references\05_statute_versioning\config-assign-versions-unknown-date.json","D:\DigiFloat\LawChronicle\references\05_statute_versioning","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\references\05_statute_versioning\config_group_statutes.json","config_group_statutes.json","config-group-statutes-unknown-date.json","D:\DigiFloat\LawChronicle\references\05_statute_versioning\config-group-statutes-unknown-date.json","D:\DigiFloat\LawChronicle\references\05_statute_versioning","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\references\gui\config_grouped_db_creator.json","config_grouped_db_creator.json","config-grouped-db-creator-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui\config-grouped-db-creator-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\references\gui\config_intelligent_grouping.json","config_intelligent_grouping.json","config-intelligent-grouping-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui\config-intelligent-grouping-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\references\gui\config_section_splitting.json","config_section_splitting.json","config-section-splitting-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui\config-section-splitting-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\references\gui\config_section_versioning.json","config_section_versioning.json","config-section-versioning-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui\config-section-versioning-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\references\gui\config_statute_grouping.json","config_statute_grouping.json","config-statute-grouping-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui\config-statute-grouping-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\references\gui\config_statute_versioning.json","config_statute_versioning.json","config-statute-versioning-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui\config-statute-versioning-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui","DRY_RUN","","2025-08-19 15:41:53"
"D:\DigiFloat\LawChronicle\references\gui\comparison-batch1-filled.json","comparison-batch1-filled.json","comparison-batch1-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui\comparison-batch1-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui","DRY_RUN","","2025-08-19 15:41:57"
"D:\DigiFloat\LawChronicle\references\gui\comparison-batch2-filled.json","comparison-batch2-filled.json","comparison-batch2-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui\comparison-batch2-unknown-date.json","D:\DigiFloat\LawChronicle\references\gui","DRY_RUN","","2025-08-19 15:41:57"
"D:\DigiFloat\LawChronicle\backend\tools\call_start_field_cleaning.py","call_start_field_cleaning.py","tool-call-start-field-cleaning-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tools\tool-call-start-field-cleaning-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tools","DRY_RUN","","2025-08-19 15:41:57"
"D:\DigiFloat\LawChronicle\backend\tools\field_cleaning_dryrun.py","field_cleaning_dryrun.py","tool-field-cleaning-dryrun-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tools\tool-field-cleaning-dryrun-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tools","DRY_RUN","","2025-08-19 15:41:57"
"D:\DigiFloat\LawChronicle\backend\tools\sample_preamble_removals.py","sample_preamble_removals.py","tool-sample-preamble-removals-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tools\tool-sample-preamble-removals-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tools","DRY_RUN","","2025-08-19 15:41:57"
"D:\DigiFloat\LawChronicle\backend\tools\test_preamble_dedupe.py","test_preamble_dedupe.py","tool-test-preamble-dedupe-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tools\tool-test-preamble-dedupe-unknown-date.py","D:\DigiFloat\LawChronicle\backend\tools","DRY_RUN","","2025-08-19 15:41:57"
"D:\DigiFloat\LawChronicle\docs\audits\2025-08-12-code-audit.md","2025-08-12-code-audit.md","doc-audit-2025-08-12.md","D:\DigiFloat\LawChronicle\docs\audits\doc-audit-2025-08-12.md","D:\DigiFloat\LawChronicle\docs\audits","DRY_RUN","","2025-08-19 15:42:00"
"D:\DigiFloat\LawChronicle\docs\audits\2025-08-12-implementation-summary.md","2025-08-12-implementation-summary.md","doc-summary-2025-08-12.md","D:\DigiFloat\LawChronicle\docs\audits\doc-summary-2025-08-12.md","D:\DigiFloat\LawChronicle\docs\audits","DRY_RUN","","2025-08-19 15:42:00"
